DEBUG 2017-08-14 18:21:20,172 utils 19942 123145515966464 (0.041) 
            SELECT c.relname, c.relkind
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid); args=None
DEBUG 2017-08-14 18:21:20,203 utils 19942 123145515966464 (0.028) SELECT "django_migrations"."app", "django_migrations"."name" FROM "django_migrations"; args=()
DEBUG 2017-08-14 19:50:46,652 utils 19942 123145521221632 (0.017) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 21; args=()
DEBUG 2017-08-14 19:50:46,685 utils 19942 123145521221632 (0.031) SELECT COUNT(*) AS "__count" FROM "article"; args=()
DEBUG 2017-08-14 19:50:46,713 utils 19942 123145521221632 (0.000) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 3; args=()
DEBUG 2017-08-14 19:50:46,730 utils 19942 123145521221632 (0.014) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:46,779 utils 19942 123145521221632 (0.013) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:46,781 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:46,782 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:50:46,783 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:46,784 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:46,795 utils 19942 123145521221632 (0.009) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" ORDER BY "article"."created_date" DESC LIMIT 5; args=()
DEBUG 2017-08-14 19:50:46,800 utils 19942 123145521221632 (0.003) SELECT DISTINCT DATE_TRUNC('month', "article"."created_date") AS "datefield" FROM "article" WHERE "article"."created_date" IS NOT NULL ORDER BY "datefield" DESC; args=()
DEBUG 2017-08-14 19:50:46,806 utils 19942 123145521221632 (0.005) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time", COUNT("article"."id") AS "num_article" FROM "blog_category" LEFT OUTER JOIN "article" ON ("blog_category"."id" = "article"."category_id") GROUP BY "blog_category"."id" HAVING COUNT("article"."id") > 0; args=(0,)
DEBUG 2017-08-14 19:50:46,812 utils 19942 123145521221632 (0.004) SELECT "blog_tag"."id", "blog_tag"."name", "blog_tag"."created_time", "blog_tag"."last_modified_time", COUNT("article_tags"."article_id") AS "num_article" FROM "blog_tag" LEFT OUTER JOIN "article_tags" ON ("blog_tag"."id" = "article_tags"."tag_id") GROUP BY "blog_tag"."id" HAVING COUNT("article_tags"."article_id") > 0; args=(0,)
DEBUG 2017-08-14 19:50:56,882 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 21; args=()
DEBUG 2017-08-14 19:50:56,883 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "article"; args=()
DEBUG 2017-08-14 19:50:56,890 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" LIMIT 3; args=()
DEBUG 2017-08-14 19:50:56,893 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:56,895 utils 19942 123145521221632 (0.001) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:56,896 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 2; args=(2,)
DEBUG 2017-08-14 19:50:56,898 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 3; args=(3,)
DEBUG 2017-08-14 19:50:56,899 utils 19942 123145521221632 (0.000) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time" FROM "blog_category" WHERE "blog_category"."id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:56,900 utils 19942 123145521221632 (0.000) SELECT COUNT(*) AS "__count" FROM "comments_comment" WHERE "comments_comment"."article_id" = 1; args=(1,)
DEBUG 2017-08-14 19:50:56,902 utils 19942 123145521221632 (0.001) SELECT "article"."id", "article"."title", "article"."author", "article"."created_date", "article"."modify_date", "article"."excerpt", "article"."content", "article"."is_show", "article"."category_id", "article"."views" FROM "article" ORDER BY "article"."created_date" DESC LIMIT 5; args=()
DEBUG 2017-08-14 19:50:56,904 utils 19942 123145521221632 (0.001) SELECT DISTINCT DATE_TRUNC('month', "article"."created_date") AS "datefield" FROM "article" WHERE "article"."created_date" IS NOT NULL ORDER BY "datefield" DESC; args=()
DEBUG 2017-08-14 19:50:56,906 utils 19942 123145521221632 (0.001) SELECT "blog_category"."id", "blog_category"."name", "blog_category"."created_time", "blog_category"."last_modified_time", COUNT("article"."id") AS "num_article" FROM "blog_category" LEFT OUTER JOIN "article" ON ("blog_category"."id" = "article"."category_id") GROUP BY "blog_category"."id" HAVING COUNT("article"."id") > 0; args=(0,)
